id,month,export_value,year
1,January," 279,973 ",2001
2,February," 279,973 ",2001
3,March," 279,973 ",2001
4,April," 283,056 ",2001
5,May," 283,056 ",2001
6,June," 283,056 ",2001
7,July," 273,957 ",2001
8,August," 273,957 ",2001
9,September," 273,957 ",2001
10,October," 266,581 ",2001
11,November," 266,581 ",2001
12,December," 266,581 ",2001
13,January," 281,823 ",2002
14,February," 281,823 ",2002
15,March," 281,823 ",2002
16,April," 289,161 ",2002
17,May," 289,161 ",2002
18,June," 289,161 ",2002
19,July," 295,511 ",2002
20,August," 295,511 ",2002
21,September," 295,511 ",2002
22,October," 300,548 ",2002
23,November," 300,548 ",2002
24,December," 300,548 ",2002
25,January," 311,525 ",2003
26,February," 311,525 ",2003
27,March," 311,525 ",2003
28,April," 308,065 ",2003
29,May," 308,065 ",2003
30,June," 308,065 ",2003
31,July," 316,903 ",2003
32,August," 316,903 ",2003
33,September," 316,903 ",2003
34,October," 336,182 ",2003
35,November," 336,182 ",2003
36,December," 336,182 ",2003
37,January," 355,785 ",2004
38,February," 355,785 ",2004
39,March," 355,785 ",2004
40,April," 367,113 ",2004
41,May," 367,113 ",2004
42,June," 367,113 ",2004
43,July," 362,827 ",2004
44,August," 362,827 ",2004
45,September," 362,827 ",2004
46,October," 373,141 ",2004
47,November," 373,141 ",2004
48,December," 373,141 ",2004
49,January," 372,426 ",2005
50,February," 372,426 ",2005
51,March," 372,426 ",2005
52,April," 396,707 ",2005
53,May," 396,707 ",2005
54,June," 396,707 ",2005
55,July," 408,489 ",2005
56,August," 408,489 ",2005
57,September," 408,489 ",2005
58,October," 393,354 ",2005
59,November," 393,354 ",2005
60,December," 393,354 ",2005
61,January," 422,379 ",2006
62,February," 422,379 ",2006
63,March," 422,379 ",2006
64,April," 427,318 ",2006
65,May," 427,318 ",2006
66,June," 427,318 ",2006
67,July," 441,777 ",2006
68,August," 441,777 ",2006
69,September," 441,777 ",2006
70,October," 448,757 ",2006
71,November," 448,757 ",2006
72,December," 448,757 ",2006
73,January," 459,719 ",2007
74,February," 459,719 ",2007
75,March," 459,719 ",2007
76,April," 464,369 ",2007
77,May," 464,369 ",2007
78,June," 464,369 ",2007
79,July," 467,142 ",2007
80,August," 467,142 ",2007
81,September," 467,142 ",2007
82,October," 504,669 ",2007
83,November," 504,669 ",2007
84,December," 504,669 ",2007
85,January," 511,133 ",2008
86,February," 511,133 ",2008
87,March," 511,133 ",2008
88,April," 522,526 ",2008
89,May," 522,526 ",2008
90,June," 522,526 ",2008
91,July," 523,551 ",2008
92,August," 523,551 ",2008
93,September," 523,551 ",2008
94,October," 461,240 ",2008
95,November," 461,240 ",2008
96,December," 461,240 ",2008
97,January," 421,064 ",2009
98,February," 421,064 ",2009
99,March," 421,064 ",2009
100,April," 409,857 ",2009
101,May," 409,857 ",2009
102,June," 409,857 ",2009
103,July," 453,921 ",2009
104,August," 453,921 ",2009
105,September," 453,921 ",2009
106,October," 485,468 ",2009
107,November," 485,468 ",2009
108,December," 485,468 ",2009
109,January," 492,140 ",2010
110,February," 492,140 ",2010
111,March," 492,140 ",2010
112,April," 506,464 ",2010
113,May," 506,464 ",2010
114,June," 506,464 ",2010
115,July," 499,984 ",2010
116,August," 499,984 ",2010
117,September," 499,984 ",2010
118,October," 526,344 ",2010
119,November," 526,344 ",2010
120,December," 526,344 ",2010
121,January," 568,196 ",2011
122,February," 568,196 ",2011
123,March," 568,196 ",2011
124,April," 566,774 ",2011
125,May," 566,774 ",2011
126,June," 566,774 ",2011
127,July," 589,610 ",2011
128,August," 589,610 ",2011
129,September," 589,610 ",2011
130,October," 493,558 ",2011
131,November," 493,558 ",2011
132,December," 493,558 ",2011
133,January," 556,129 ",2012
134,February," 556,129 ",2012
135,March," 556,129 ",2012
136,April," 576,767 ",2012
137,May," 576,767 ",2012
138,June," 576,767 ",2012
139,July," 579,830 ",2012
140,August," 579,830 ",2012
141,September," 579,830 ",2012
142,October," 585,301 ",2012
143,November," 585,301 ",2012
144,December," 585,301 ",2012
145,January," 583,773 ",2013
146,February," 583,773 ",2013
147,March," 583,773 ",2013
148,April," 584,123 ",2013
149,May," 584,123 ",2013
150,June," 584,123 ",2013
151,July," 592,789 ",2013
152,August," 592,789 ",2013
153,September," 592,789 ",2013
154,October," 594,579 ",2013
155,November," 594,579 ",2013
156,December," 594,579 ",2013
157,January," 581,579 ",2014
158,February," 581,579 ",2014
159,March," 581,579 ",2014
160,April," 583,121 ",2014
161,May," 583,121 ",2014
162,June," 583,121 ",2014
163,July," 574,995 ",2014
164,August," 574,995 ",2014
165,September," 574,995 ",2014
166,October," 623,230 ",2014
167,November," 623,230 ",2014
168,December," 623,230 ",2014
169,January," 591,639 ",2015
170,February," 591,639 ",2015
171,March," 591,639 ",2015
172,April," 597,421 ",2015
173,May," 597,421 ",2015
174,June," 597,421 ",2015
175,July," 598,968 ",2015
176,August," 598,968 ",2015
177,September," 598,968 ",2015
178,October," 604,297 ",2015
179,November," 604,297 ",2015
180,December," 604,297 ",2015
181,January," 618,911 ",2016
182,February," 618,911 ",2016
183,March," 618,911 ",2016
184,April," 611,644 ",2016
185,May," 611,644 ",2016
186,June," 611,644 ",2016
187,July," 611,817 ",2016
188,August," 611,817 ",2016
189,September," 611,817 ",2016
190,October," 613,878 ",2016
191,November," 613,878 ",2016
192,December," 613,878 ",2016
193,January," 632,031 ",2017
194,February," 632,031 ",2017
195,March," 632,031 ",2017
196,April," 636,352 ",2017
197,May," 636,352 ",2017
198,June," 636,352 ",2017
199,July," 659,348 ",2017
200,August," 659,348 ",2017
201,September," 659,348 ",2017
202,October," 655,130 ",2017
203,November," 655,130 ",2017
204,December," 655,130 ",2017
205,January," 672,967 ",2018
206,February," 672,967 ",2018
207,March," 672,967 ",2018
208,April," 678,517 ",2018
209,May," 678,517 ",2018
210,June," 678,517 ",2018
211,July," 657,313 ",2018
212,August," 657,313 ",2018
213,September," 657,313 ",2018
214,October," 660,787 ",2018
215,November," 660,787 ",2018
216,December," 660,787 ",2018
217,January," 643,091 ",2019
218,February," 643,091 ",2019
219,March," 643,091 ",2019
220,April," 646,676 ",2019
221,May," 646,676 ",2019
222,June," 646,676 ",2019
223,July," 662,044 ",2019
224,August," 662,044 ",2019
225,September," 662,044 ",2019
226,October," 638,587 ",2019
227,November," 638,587 ",2019
228,December," 638,587 ",2019
229,January," 606,808 ",2020
230,February," 606,808 ",2020
231,March," 606,808 ",2020
232,April," 464,130 ",2020
233,May," 464,130 ",2020
234,June," 464,130 ",2020
235,July," 508,694 ",2020
236,August," 508,694 ",2020
237,September," 508,694 ",2020
238,October," 498,456 ",2020
239,November," 498,456 ",2020
240,December," 498,456 ",2020