id,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
0,2001,January,279973.0,459359.0,255061.0,0.72,2.5,52.47,62308887.0,5.73,43.12,68.8
1,2001,February,279973.0,459359.0,255061.0,0.44,2.0,53.02,62308887.0,4.25,42.64,69.1
2,2001,March,279973.0,459359.0,255061.0,0.0,2.0,52.18,62308887.0,4.04,43.9,69.1
3,2001,April,283056.0,442241.0,255379.0,0.72,2.0,51.29,62308887.0,4.06,45.46,69.6
4,2001,May,283056.0,442241.0,255379.0,0.29,2.0,52.51,62308887.0,4.24,45.48,69.8
5,2001,June,283056.0,442241.0,255379.0,-0.29,2.0,53.96,62308887.0,2.38,45.24,69.6
6,2001,July,273957.0,440895.0,240558.0,0.0,2.0,53.31,62308887.0,2.43,45.62,69.6
7,2001,August,273957.0,440895.0,240558.0,0.0,2.0,54.26,62308887.0,2.11,44.9,69.6
8,2001,September,273957.0,440895.0,240558.0,0.29,2.0,54.35,62308887.0,3.36,44.33,69.8
9,2001,October,266581.0,469290.0,236483.0,-0.43,2.0,54.15,62308887.0,3.19,44.72,69.5
10,2001,November,266581.0,469290.0,236483.0,-0.29,2.0,52.58,62308887.0,2.4,44.41,69.3
11,2001,December,266581.0,469290.0,236483.0,-0.29,1.75,52.39,62308887.0,1.75,43.91,69.1
12,2002,January,281823.0,480343.0,249453.0,0.29,1.75,53.45,62362235.0,4.17,44.02,69.3
13,2002,February,281823.0,480343.0,249453.0,0.14,1.75,54.31,62397767.0,2.79,43.82,69.4
14,2002,March,281823.0,480343.0,249453.0,0.14,1.75,56.33,62427766.0,2.72,43.39,69.5
15,2002,April,289161.0,470405.0,260235.0,0.58,1.75,56.02,62429255.0,3.68,43.42,69.9
16,2002,May,289161.0,470405.0,260235.0,0.14,1.75,58.41,61151635.0,2.96,42.79,70.0
17,2002,June,289161.0,470405.0,260235.0,-0.29,1.75,57.39,62543436.0,1.88,42.15,69.8
18,2002,July,295511.0,471430.0,267317.0,0.0,1.75,57.62,62601264.0,1.7,41.2,69.8
19,2002,August,295511.0,471430.0,267317.0,0.0,1.75,60.27,62617878.0,1.75,42.18,69.8
20,2002,September,295511.0,471430.0,267317.0,0.43,1.75,58.94,62664052.0,1.96,42.82,70.1
21,2002,October,300548.0,501014.0,269683.0,0.43,1.5,60.12,62685274.0,2.6,43.66,70.4
22,2002,November,300548.0,501014.0,269683.0,-0.28,1.5,62.29,62748722.0,1.49,43.32,70.2
23,2002,December,300548.0,501014.0,269683.0,0.0,1.5,59.03,62799873.0,1.39,43.28,70.2
24,2003,January,311525.0,516914.0,276165.0,0.85,1.5,64.16,62797041.0,3.38,42.77,70.8
25,2003,February,311525.0,516914.0,276165.0,-0.14,1.5,62.2,62820083.0,2.3,42.88,70.7
26,2003,March,311525.0,516914.0,276165.0,0.0,1.25,64.43,62847512.0,2.92,42.75,70.7
27,2003,April,308065.0,500036.0,273800.0,0.42,1.25,66.79,62868123.0,2.67,42.88,71.0
28,2003,May,308065.0,500036.0,273800.0,0.42,1.25,65.27,62922059.0,2.73,42.15,71.3
29,2003,June,308065.0,500036.0,273800.0,-0.42,1.0,64.86,62952778.0,2.07,41.65,71.0
30,2003,July,316903.0,503668.0,293002.0,0.0,0.75,65.99,62985553.0,1.39,41.78,71.0
31,2003,August,316903.0,503668.0,293002.0,0.56,0.75,64.36,63038081.0,1.54,41.67,71.4
32,2003,September,316903.0,503668.0,293002.0,-0.14,0.75,66.44,63080895.0,1.77,40.5,71.3
33,2003,October,336182.0,540837.0,318657.0,0.14,0.75,68.71,63097435.0,2.48,39.73,71.4
34,2003,November,336182.0,540837.0,318657.0,0.14,0.75,66.85,63154110.0,1.53,39.9,71.5
35,2003,December,336182.0,540837.0,318657.0,0.0,0.75,71.43,63192694.0,1.48,39.71,71.5
36,2004,January,355785.0,550643.0,334406.0,0.42,0.75,72.39,63704018.0,3.69,39.09,71.8
37,2004,February,355785.0,550643.0,334406.0,0.7,0.75,73.99,63726427.0,2.37,39.1,72.3
38,2004,March,355785.0,550643.0,334406.0,0.28,0.75,70.1,63775552.0,2.42,39.45,72.5
39,2004,April,367113.0,531632.0,349358.0,0.41,0.75,73.11,63818862.0,2.78,39.44,72.8
40,2004,May,367113.0,531632.0,349358.0,0.41,0.75,71.56,63607485.0,2.6,40.57,73.1
41,2004,June,367113.0,531632.0,349358.0,0.27,0.75,71.89,63798774.0,2.05,40.8,73.3
42,2004,July,362827.0,532102.0,352109.0,0.14,0.75,74.76,63913488.0,1.35,40.94,73.4
43,2004,August,362827.0,532102.0,352109.0,0.27,0.75,71.06,63945463.0,1.49,41.5,73.6
44,2004,September,362827.0,532102.0,352109.0,0.27,0.75,75.41,63998370.0,1.79,41.47,73.8
45,2004,October,373141.0,576731.0,360189.0,0.0,0.75,75.91,61948863.0,1.58,41.31,73.8
46,2004,November,373141.0,576731.0,360189.0,-0.27,0.75,75.93,61970009.0,1.47,40.34,73.6
47,2004,December,373141.0,576731.0,360189.0,0.0,0.75,77.77,61975636.0,1.46,39.22,73.6
48,2005,January,372426.0,571846.0,391938.0,0.0,0.75,76.75,61992062.0,3.28,38.75,73.6
49,2005,February,372426.0,571846.0,391938.0,0.54,0.75,74.85,62005305.0,2.29,38.48,74.0
50,2005,March,372426.0,571846.0,391938.0,1.08,0.75,78.49,62029314.0,2.08,38.61,74.8
51,2005,April,396707.0,554665.0,421741.0,0.67,0.75,80.29,62059903.0,2.21,39.53,75.3
52,2005,May,396707.0,554665.0,421741.0,0.66,0.75,79.52,62121368.0,2.03,39.84,75.8
53,2005,June,396707.0,554665.0,421741.0,0.26,0.75,82.05,62164389.0,1.93,40.92,76.0
54,2005,July,408489.0,557367.0,400527.0,1.58,0.75,81.07,62203566.0,1.43,41.76,77.2
55,2005,August,408489.0,557367.0,400527.0,0.65,0.75,81.2,62271043.0,1.36,41.19,77.7
56,2005,September,408489.0,557367.0,400527.0,0.64,0.75,83.32,62299195.0,1.3,41.05,78.2
57,2005,October,393354.0,598985.0,406065.0,0.38,0.75,81.87,62353900.0,1.77,40.91,78.5
58,2005,November,393354.0,598985.0,406065.0,-0.76,0.75,81.96,62383751.0,1.22,41.12,77.9
59,2005,December,393354.0,598985.0,406065.0,-0.13,0.75,82.38,62418042.0,1.37,41.07,77.8
60,2006,January,422379.0,603354.0,409178.0,0.26,0.75,81.42,62012730.0,2.16,39.62,78.0
61,2006,February,422379.0,603354.0,409178.0,0.13,0.75,84.78,62467643.0,1.55,39.41,78.1
62,2006,March,422379.0,603354.0,409178.0,1.15,0.75,86.77,62487838.0,1.8,38.98,79.0
63,2006,April,427318.0,579435.0,415366.0,1.14,0.75,84.07,62403519.0,2.1,37.99,79.9
64,2006,May,427318.0,579435.0,415366.0,0.75,0.75,86.63,62559588.0,1.39,38.01,80.5
65,2006,June,427318.0,579435.0,415366.0,0.0,0.75,87.43,62599957.0,1.54,38.35,80.5
66,2006,July,441777.0,582253.0,419115.0,0.25,0.75,85.87,62632598.0,1.13,38.0,80.7
67,2006,August,441777.0,582253.0,419115.0,0.0,0.75,87.34,62666514.0,1.36,37.64,80.7
68,2006,September,441777.0,582253.0,419115.0,-0.37,0.75,87.35,62711723.0,1.16,37.43,80.4
69,2006,October,448757.0,631230.0,423710.0,0.5,0.75,86.07,62754483.0,1.67,37.34,80.8
70,2006,November,448757.0,631230.0,423710.0,-0.12,0.75,88.77,62793679.0,1.23,36.54,80.7
71,2006,December,448757.0,631230.0,423710.0,0.0,0.75,87.92,62828695.0,0.96,35.83,80.7
72,2007,January,459719.0,642931.0,418051.0,-0.37,0.75,89.3,62858034.0,1.62,35.97,80.4
73,2007,February,459719.0,642931.0,418051.0,-0.37,0.75,89.15,62888464.0,1.49,35.74,80.1
74,2007,March,459719.0,642931.0,418051.0,0.62,0.75,90.18,62924096.0,1.61,35.06,80.6
75,2007,April,464369.0,609821.0,432638.0,0.87,0.75,90.03,62958182.0,1.73,34.87,81.3
76,2007,May,464369.0,609821.0,432638.0,0.86,0.75,92.12,63008448.0,1.59,34.62,82.0
77,2007,June,464369.0,609821.0,432638.0,0.0,0.75,90.53,63024072.0,1.39,34.58,82.0
78,2007,July,467142.0,614064.0,431821.0,0.0,0.75,92.09,62915055.0,1.21,33.71,82.0
79,2007,August,467142.0,614064.0,431821.0,-0.61,0.75,95.9,62957205.0,1.16,34.2,81.5
80,2007,September,467142.0,614064.0,431821.0,0.61,0.75,94.79,63002288.0,1.15,34.26,82.0
81,2007,October,504669.0,659697.0,455270.0,0.85,0.75,97.21,63041491.0,1.41,34.17,82.7
82,2007,November,504669.0,659697.0,455270.0,0.48,0.75,99.77,63009037.0,1.1,33.88,83.1
83,2007,December,504669.0,659697.0,455270.0,0.0,0.75,98.48,63038247.0,0.85,33.7,83.1
84,2008,January,511133.0,664313.0,485212.0,0.96,0.75,101.81,63063346.0,1.72,33.18,83.9
85,2008,February,511133.0,664313.0,485212.0,0.6,0.75,102.83,63087671.0,1.53,32.6,84.4
86,2008,March,511133.0,664313.0,485212.0,0.59,0.75,98.32,63114990.0,1.52,31.46,84.9
87,2008,April,522526.0,631313.0,478859.0,1.65,0.75,99.25,63138439.0,1.46,31.59,86.3
88,2008,May,522526.0,631313.0,478859.0,2.32,0.75,100.67,63171677.0,1.47,32.11,88.3
89,2008,June,522526.0,631313.0,478859.0,0.91,0.75,100.29,63200760.0,1.16,33.2,89.1
90,2008,July,523551.0,627862.0,506106.0,0.45,0.75,101.84,63217743.0,1.27,33.5,89.5
91,2008,August,523551.0,627862.0,506106.0,-2.91,0.75,103.48,63241059.0,1.16,33.86,86.9
92,2008,September,523551.0,627862.0,506106.0,0.12,0.75,98.93,63281674.0,1.14,34.29,87.0
93,2008,October,461240.0,646625.0,468071.0,-1.26,0.75,99.58,63327400.0,1.19,34.43,85.9
94,2008,November,461240.0,646625.0,468071.0,-1.16,0.75,92.28,63359400.0,1.38,35.09,84.9
95,2008,December,461240.0,646625.0,468071.0,-1.65,0.75,80.53,63389730.0,1.4,35.04,83.5
96,2009,January,421064.0,635891.0,334897.0,0.0,0.75,79.9,63248050.0,2.36,34.92,83.5
97,2009,February,421064.0,635891.0,334897.0,0.96,0.5,82.23,63278240.0,1.9,35.33,84.3
98,2009,March,421064.0,635891.0,334897.0,0.47,0.5,83.68,63270793.0,1.89,35.78,84.7
99,2009,April,409857.0,612010.0,366647.0,0.94,0.5,89.97,63308461.0,2.14,35.46,85.5
100,2009,May,409857.0,612010.0,366647.0,-0.23,0.5,90.94,63359884.0,1.71,34.57,85.3
101,2009,June,409857.0,612010.0,366647.0,0.35,0.5,91.8,61836450.0,1.4,34.14,85.6
102,2009,July,453921.0,624711.0,391541.0,0.0,0.5,94.24,63378341.0,1.21,34.05,85.6
103,2009,August,453921.0,624711.0,391541.0,0.35,0.5,93.6,63411014.0,1.15,34.02,85.9
104,2009,September,453921.0,624711.0,391541.0,0.23,0.5,101.31,63453507.0,1.19,33.83,86.1
105,2009,October,485468.0,679751.0,442849.0,0.12,0.5,100.36,63482167.0,1.07,33.41,86.2
106,2009,November,485468.0,679751.0,442849.0,0.35,0.5,101.19,63508365.0,1.01,33.28,86.5
107,2009,December,485468.0,679751.0,442849.0,-0.12,0.5,110.18,63525062.0,0.9,33.23,86.4
108,2010,January,492140.0,713223.0,462483.0,0.6,0.5,102.45,63559878.0,1.4,33.04,86.92
109,2010,February,492140.0,713223.0,462483.0,0.55,0.5,107.5,63589467.0,1.0,33.15,87.4
110,2010,March,492140.0,713223.0,462483.0,0.23,0.5,111.01,63607881.0,0.96,32.51,87.6
111,2010,April,506464.0,666973.0,466636.0,0.5,0.5,109.92,63627424.0,1.18,32.29,88.04
112,2010,May,506464.0,666973.0,466636.0,0.19,0.5,106.61,63656730.0,1.54,32.39,88.21
113,2010,June,506464.0,666973.0,466636.0,0.26,0.5,111.69,63692283.0,1.19,32.47,88.44
114,2010,July,499984.0,660748.0,471960.0,0.15,0.5,109.16,63717183.0,0.89,32.33,88.57
115,2010,August,499984.0,660748.0,471960.0,0.25,0.5,101.82,63742677.0,0.9,31.74,88.79
116,2010,September,499984.0,660748.0,471960.0,-0.08,0.5,109.92,63782217.0,0.87,30.83,88.72
117,2010,October,526344.0,703188.0,491068.0,0.02,0.5,106.28,63815599.0,0.92,29.97,88.74
118,2010,November,526344.0,703188.0,491068.0,0.21,0.5,106.41,63844713.0,1.01,29.89,88.93
119,2010,December,526344.0,703188.0,491068.0,0.16,0.5,107.62,63878267.0,0.68,30.12,89.07
120,2011,January,568196.0,736581.0,526022.0,0.55,0.5,95.55,63899927.0,0.98,30.58,89.56
121,2011,February,568196.0,736581.0,526022.0,0.4,0.62,93.18,63920893.0,0.7,30.72,89.92
122,2011,March,568196.0,736581.0,526022.0,0.49,0.75,97.33,63945893.0,0.72,30.37,90.36
123,2011,April,566774.0,679165.0,527990.0,1.37,0.75,94.23,63973156.0,0.75,30.05,91.6
124,2011,May,566774.0,679165.0,527990.0,0.34,0.75,92.68,63816440.0,0.53,30.25,91.91
125,2011,June,566774.0,679165.0,527990.0,0.13,0.75,97.72,63849218.0,0.42,30.52,92.03
126,2011,July,589610.0,676644.0,560886.0,0.18,0.87,96.48,63889115.0,0.52,30.07,92.2
127,2011,August,589610.0,676644.0,560886.0,0.43,0.87,98.67,63927502.0,0.68,29.88,92.6
128,2011,September,589610.0,676644.0,560886.0,-0.35,0.87,100.04,63966010.0,0.75,30.42,92.28
129,2011,October,493558.0,674797.0,509720.0,0.2,0.87,74.28,64011645.0,0.56,30.89,92.46
130,2011,November,493558.0,674797.0,509720.0,0.22,0.87,70.18,64029302.0,0.82,30.96,92.66
131,2011,December,493558.0,674797.0,509720.0,-0.47,0.87,86.14,64076033.0,0.43,31.22,92.22
132,2012,January,556129.0,757602.0,546237.0,0.39,0.75,88.11,64097781.0,0.81,31.58,92.58
133,2012,February,556129.0,757602.0,546237.0,0.37,0.75,95.8,64104702.0,0.66,30.73,92.92
134,2012,March,556129.0,757602.0,546237.0,0.59,0.75,95.85,64132250.0,0.73,30.7,93.47
135,2012,April,576767.0,720103.0,568539.0,0.42,0.75,97.34,64161701.0,0.97,30.89,93.86
136,2012,May,576767.0,720103.0,568539.0,0.39,0.75,100.14,64192834.0,0.92,31.34,94.23
137,2012,June,576767.0,720103.0,568539.0,0.17,0.75,97.94,64227329.0,0.67,31.66,94.39
138,2012,July,579830.0,710731.0,554399.0,0.34,0.75,100.41,64262682.0,0.56,31.65,94.71
139,2012,August,579830.0,710731.0,554399.0,0.4,0.75,99.31,64302503.0,0.56,31.44,95.09
140,2012,September,579830.0,710731.0,554399.0,0.33,0.75,98.1,64349776.0,0.63,31.0,95.4
141,2012,October,585301.0,779173.0,573447.0,0.14,0.75,101.28,64391572.0,0.56,30.69,95.53
142,2012,November,585301.0,779173.0,573447.0,-0.36,0.75,103.91,64424439.0,0.39,30.71,95.19
143,2012,December,585301.0,779173.0,573447.0,0.39,0.7,100.8,64456695.0,0.48,30.64,95.56
144,2013,January,583773.0,798443.0,591833.0,0.16,0.7,103.59,64487448.0,0.83,30.07,95.71
145,2013,February,583773.0,798443.0,591833.0,0.22,0.65,99.14,64505762.0,0.62,29.83,95.92
146,2013,March,583773.0,798443.0,591833.0,0.06,0.65,101.96,64532738.0,0.69,29.52,95.98
147,2013,April,584123.0,739729.0,584844.0,0.16,0.65,101.11,64559454.0,0.89,29.08,96.13
148,2013,May,584123.0,739729.0,584844.0,0.25,0.65,101.57,64568408.0,0.77,29.78,96.37
149,2013,June,584123.0,739729.0,584844.0,0.15,0.65,101.01,64599115.0,0.55,30.84,96.51
150,2013,July,592789.0,728426.0,553259.0,0.1,0.65,101.26,64627330.0,0.89,31.13,96.61
151,2013,August,592789.0,728426.0,553259.0,-0.01,0.6,100.62,64658709.0,0.81,31.61,96.6
152,2013,September,592789.0,728426.0,553259.0,0.17,0.6,98.51,64693672.0,0.67,31.71,96.76
153,2013,October,594579.0,780765.0,547740.0,0.17,0.6,100.22,64730060.0,0.62,31.22,96.92
154,2013,November,594579.0,780765.0,547740.0,0.1,0.6,97.99,64762387.0,0.72,31.64,97.02
155,2013,December,594579.0,780765.0,547740.0,0.14,0.5,96.4,64785909.0,0.62,32.35,97.16
156,2014,January,581579.0,795481.0,530895.0,0.41,0.5,96.33,64805593.0,0.94,32.94,97.56
157,2014,February,581579.0,795481.0,530895.0,0.25,0.5,95.54,64821560.0,0.86,32.65,97.8
158,2014,March,581579.0,795481.0,530895.0,0.2,0.4,96.15,64843618.0,0.88,32.39,98.0
159,2014,April,583121.0,745923.0,532587.0,0.5,0.4,98.07,64867549.0,0.9,32.32,98.49
160,2014,May,583121.0,745923.0,532587.0,0.41,0.4,97.23,64896677.0,0.94,32.53,98.89
161,2014,June,583121.0,745923.0,532587.0,-0.11,0.4,96.14,64924698.0,1.15,32.51,98.78
162,2014,July,574995.0,736304.0,551703.0,-0.08,0.4,96.47,64956150.0,0.97,32.1,98.7
163,2014,August,574995.0,736304.0,551703.0,-0.08,0.4,96.42,64988664.0,0.74,32.01,98.62
164,2014,September,574995.0,736304.0,551703.0,-0.17,0.4,97.79,65028365.0,0.8,32.19,98.45
165,2014,October,623230.0,799655.0,541271.0,-0.1,0.4,98.26,65066458.0,0.75,32.46,98.35
166,2014,November,623230.0,799655.0,541271.0,-0.11,0.4,95.8,65096559.0,0.55,32.79,98.24
167,2014,December,623230.0,799655.0,541271.0,-0.51,0.4,98.04,65124716.0,0.56,32.91,97.74
168,2015,January,591639.0,819892.0,546881.0,-0.58,0.4,97.54,65144936.0,1.06,32.74,97.17
169,2015,February,591639.0,819892.0,546881.0,0.11,0.4,99.13,65161334.0,0.82,32.57,97.28
170,2015,March,591639.0,819892.0,546881.0,0.17,0.4,96.56,65181783.0,0.99,32.63,97.45
171,2015,April,597421.0,767698.0,537767.0,0.02,0.4,97.77,65202368.0,0.85,32.52,97.47
172,2015,May,597421.0,767698.0,537767.0,0.16,0.4,95.88,65225659.0,0.93,33.56,97.63
173,2015,June,597421.0,767698.0,537767.0,0.1,0.4,96.73,65249611.0,0.83,33.73,97.73
174,2015,July,598968.0,761687.0,539449.0,-0.07,0.4,98.25,65277757.0,1.0,34.31,97.66
175,2015,August,598968.0,761687.0,539449.0,-0.22,0.4,95.91,65305772.0,0.97,35.43,97.45
176,2015,September,598968.0,761687.0,539449.0,-0.05,0.3,96.92,65338177.0,0.78,36.02,97.4
177,2015,October,604297.0,824532.0,532428.0,0.2,0.3,96.7,65678552.0,0.85,35.72,97.59
178,2015,November,604297.0,824532.0,532428.0,-0.32,0.3,95.22,65705163.0,0.9,35.78,97.28
179,2015,December,604297.0,824532.0,532428.0,-0.39,0.3,97.56,65729098.0,0.65,36.01,96.9
180,2016,January,618911.0,847183.0,523374.0,-0.26,0.3,97.0,65749209.0,0.91,36.16,96.65
181,2016,February,618911.0,847183.0,523374.0,0.14,0.3,100.72,65764010.0,0.87,35.6,96.79
182,2016,March,618911.0,847183.0,523374.0,0.22,0.3,100.29,65780834.0,1.04,35.24,97.0
183,2016,April,611644.0,796959.0,529472.0,0.55,0.3,100.67,65790679.0,1.04,35.09,97.53
184,2016,May,611644.0,796959.0,529472.0,0.56,0.3,98.69,65807410.0,1.2,35.45,98.08
185,2016,June,611644.0,796959.0,529472.0,0.03,0.3,101.02,65793711.0,1.01,35.3,98.11
186,2016,July,611817.0,785990.0,534301.0,-0.35,0.3,98.62,65805267.0,1.01,35.07,97.77
187,2016,August,611817.0,785990.0,534301.0,-0.04,0.3,101.52,65830449.0,0.93,34.72,97.73
188,2016,September,611817.0,785990.0,534301.0,0.04,0.3,102.32,65858119.0,0.87,34.74,97.77
189,2016,October,613878.0,852702.0,548588.0,0.15,0.3,100.38,65881730.0,1.19,35.06,97.92
190,2016,November,613878.0,852702.0,548588.0,-0.05,0.3,98.1,65907885.0,0.99,35.33,97.87
191,2016,December,613878.0,852702.0,548588.0,0.12,0.3,99.84,65931550.0,0.8,35.81,97.99
192,2017,January,632031.0,879639.0,552074.0,0.16,0.3,98.75,65948260.0,1.18,35.43,98.15
193,2017,February,632031.0,879639.0,552074.0,0.04,0.3,98.71,65962264.0,1.12,35.02,98.19
194,2017,March,632031.0,879639.0,552074.0,-0.46,0.3,101.65,65984008.0,1.29,34.9,97.74
195,2017,April,636352.0,831598.0,562156.0,0.16,0.3,99.47,66004278.0,1.25,34.45,97.9
196,2017,May,636352.0,831598.0,562156.0,0.14,0.3,101.52,66026591.0,1.32,34.45,98.04
197,2017,June,636352.0,831598.0,562156.0,0.02,0.3,101.59,66046557.0,1.07,34.0,98.06
198,2017,July,659348.0,821216.0,569358.0,-0.13,0.3,100.58,66065817.0,1.24,33.75,97.93
199,2017,August,659348.0,821216.0,569358.0,0.11,0.3,104.29,66091049.0,1.12,33.26,98.04
200,2017,September,659348.0,821216.0,569358.0,0.58,0.3,103.22,66118578.0,1.17,33.15,98.61
201,2017,October,655130.0,887527.0,586714.0,0.15,0.3,100.09,66143621.0,1.29,33.25,98.76
202,2017,November,655130.0,887527.0,586714.0,0.07,0.3,103.67,66168799.0,1.14,32.93,98.83
203,2017,December,655130.0,887527.0,586714.0,-0.08,0.3,103.72,66188503.0,0.96,32.67,98.75
204,2018,January,672967.0,924091.0,600055.0,0.07,0.3,103.44,66205110.0,1.26,31.88,98.82
205,2018,February,672967.0,924091.0,600055.0,-0.22,0.3,104.2,66218164.0,1.28,31.48,98.6
206,2018,March,672967.0,924091.0,600055.0,-0.09,0.3,105.86,66236461.0,1.16,31.26,98.51
207,2018,April,678517.0,870261.0,616170.0,0.45,0.3,103.49,66252815.0,1.06,31.31,98.95
208,2018,May,678517.0,870261.0,616170.0,0.56,0.3,107.05,66270678.0,1.04,31.97,99.5
209,2018,June,678517.0,870261.0,616170.0,-0.08,0.3,107.54,66287599.0,1.1,32.47,99.42
210,2018,July,657313.0,847805.0,630190.0,-0.05,0.3,107.41,66305833.0,0.98,33.27,99.37
211,2018,August,657313.0,847805.0,630190.0,0.26,0.3,108.9,66329785.0,1.04,33.02,99.63
212,2018,September,657313.0,847805.0,630190.0,0.29,0.3,105.5,66353911.0,0.97,32.62,99.92
213,2018,October,660787.0,922245.0,614578.0,0.06,0.3,107.57,66377264.0,1.01,32.77,99.98
214,2018,November,660787.0,922245.0,614578.0,-0.22,0.3,108.41,66397730.0,0.95,32.97,99.76
215,2018,December,660787.0,922245.0,614578.0,-0.66,0.3,103.8,66413979.0,0.91,32.7,99.1
216,2019,January,643091.0,948618.0,592813.0,-0.02,0.3,104.07,66427774.0,1.02,31.81,99.08
217,2019,February,643091.0,948618.0,592813.0,0.24,0.3,103.23,66437119.0,0.78,31.31,99.32
218,2019,March,643091.0,948618.0,592813.0,0.41,0.3,103.68,66447273.0,0.9,31.73,99.73
219,2019,April,646676.0,890065.0,595934.0,0.44,0.3,105.28,66453499.0,0.96,31.86,100.17
220,2019,May,646676.0,890065.0,595934.0,0.47,0.3,103.78,66465053.0,1.11,31.8,100.64
221,2019,June,646676.0,890065.0,595934.0,-0.36,0.3,101.92,66476548.0,0.94,31.13,100.28
222,2019,July,662044.0,869502.0,588499.0,0.06,0.3,104.63,66489259.0,1.14,30.79,100.34
223,2019,August,662044.0,869502.0,588499.0,-0.19,0.3,103.71,66507282.0,1.0,30.77,100.15
224,2019,September,662044.0,869502.0,588499.0,0.09,0.3,100.0,66523642.0,1.02,30.57,100.24
225,2019,October,638587.0,932910.0,558514.0,-0.15,0.3,99.15,66538801.0,0.95,30.37,100.09
226,2019,November,638587.0,932910.0,558514.0,-0.13,0.3,98.12,66551409.0,1.12,30.24,99.96
227,2019,December,638587.0,932910.0,558514.0,0.01,0.3,98.59,66558935.0,0.96,30.22,99.97
228,2020,January,606808.0,927436.0,566317.0,0.16,0.3,100.11,66566214.0,1.07,30.44,100.13
229,2020,February,606808.0,927436.0,566317.0,-0.08,0.3,99.23,66571782.0,1.09,31.34,100.05
230,2020,March,606808.0,927436.0,566317.0,-0.86,0.3,94.09,66578309.0,1.03,32.11,99.19
231,2020,April,464130.0,780539.0,456511.0,-2.04,0.3,82.58,66586867.0,,32.63,97.17
232,2020,May,464130.0,780539.0,456511.0,0.01,0.25,78.79,66586964.0,,32.04,97.18
233,2020,June,464130.0,780539.0,456511.0,1.56,0.25,83.12,66550206.0,,31.16,98.7
234,2020,July,508694.0,813715.0,468243.0,0.67,0.25,89.13,66533253.0,2.15,31.42,99.36
235,2020,August,508694.0,813715.0,468243.0,0.29,0.25,92.85,66481068.0,1.86,31.22,99.65
236,2020,September,508694.0,813715.0,468243.0,-0.11,0.25,95.58,66182969.0,1.79,31.36,99.54
237,2020,October,498456.0,893821.0,512104.0,0.05,0.25,97.29,66182634.0,2.09,31.27,99.59
238,2020,November,498456.0,893821.0,512104.0,-0.04,0.25,96.2,66187747.0,2.0,30.48,99.55
239,2020,December,498456.0,893821.0,512104.0,0.15,0.25,96.28,66186727.0,1.49,30.09,99.7
240,2021,January,,,,,,,,,,
241,2021,February,,,,,,,,,,
242,2021,March,,,,,,,,,,
243,2021,April,,,,,,,,,,
244,2021,May,,,,,,,,,,
245,2021,June,,,,,,,,,,
246,2021,July,,,,,,,,,,
247,2021,August,,,,,,,,,,
248,2021,September,,,,,,,,,,
249,2021,October,,,,,,,,,,
250,2021,November,,,,,,,,,,
251,2021,December,,,,,,,,,,
