id,month,import_value,year
1,January," 255,061 ",2001
2,February," 255,061 ",2001
3,March," 255,061 ",2001
4,April," 255,379 ",2001
5,May," 255,379 ",2001
6,June," 255,379 ",2001
7,July," 240,558 ",2001
8,August," 240,558 ",2001
9,September," 240,558 ",2001
10,October," 236,483 ",2001
11,November," 236,483 ",2001
12,December," 236,483 ",2001
13,January," 249,453 ",2002
14,February," 249,453 ",2002
15,March," 249,453 ",2002
16,April," 260,235 ",2002
17,May," 260,235 ",2002
18,June," 260,235 ",2002
19,July," 267,317 ",2002
20,August," 267,317 ",2002
21,September," 267,317 ",2002
22,October," 269,683 ",2002
23,November," 269,683 ",2002
24,December," 269,683 ",2002
25,January," 276,165 ",2003
26,February," 276,165 ",2003
27,March," 276,165 ",2003
28,April," 273,800 ",2003
29,May," 273,800 ",2003
30,June," 273,800 ",2003
31,July," 293,002 ",2003
32,August," 293,002 ",2003
33,September," 293,002 ",2003
34,October," 318,657 ",2003
35,November," 318,657 ",2003
36,December," 318,657 ",2003
37,January," 334,406 ",2004
38,February," 334,406 ",2004
39,March," 334,406 ",2004
40,April," 349,358 ",2004
41,May," 349,358 ",2004
42,June," 349,358 ",2004
43,July," 352,109 ",2004
44,August," 352,109 ",2004
45,September," 352,109 ",2004
46,October," 360,189 ",2004
47,November," 360,189 ",2004
48,December," 360,189 ",2004
49,January," 391,938 ",2005
50,February," 391,938 ",2005
51,March," 391,938 ",2005
52,April," 421,741 ",2005
53,May," 421,741 ",2005
54,June," 421,741 ",2005
55,July," 400,527 ",2005
56,August," 400,527 ",2005
57,September," 400,527 ",2005
58,October," 406,065 ",2005
59,November," 406,065 ",2005
60,December," 406,065 ",2005
61,January," 409,178 ",2006
62,February," 409,178 ",2006
63,March," 409,178 ",2006
64,April," 415,366 ",2006
65,May," 415,366 ",2006
66,June," 415,366 ",2006
67,July," 419,115 ",2006
68,August," 419,115 ",2006
69,September," 419,115 ",2006
70,October," 423,710 ",2006
71,November," 423,710 ",2006
72,December," 423,710 ",2006
73,January," 418,051 ",2007
74,February," 418,051 ",2007
75,March," 418,051 ",2007
76,April," 432,638 ",2007
77,May," 432,638 ",2007
78,June," 432,638 ",2007
79,July," 431,821 ",2007
80,August," 431,821 ",2007
81,September," 431,821 ",2007
82,October," 455,270 ",2007
83,November," 455,270 ",2007
84,December," 455,270 ",2007
85,January," 485,212 ",2008
86,February," 485,212 ",2008
87,March," 485,212 ",2008
88,April," 478,859 ",2008
89,May," 478,859 ",2008
90,June," 478,859 ",2008
91,July," 506,106 ",2008
92,August," 506,106 ",2008
93,September," 506,106 ",2008
94,October," 468,071 ",2008
95,November," 468,071 ",2008
96,December," 468,071 ",2008
97,January," 334,897 ",2009
98,February," 334,897 ",2009
99,March," 334,897 ",2009
100,April," 366,647 ",2009
101,May," 366,647 ",2009
102,June," 366,647 ",2009
103,July," 391,541 ",2009
104,August," 391,541 ",2009
105,September," 391,541 ",2009
106,October," 442,849 ",2009
107,November," 442,849 ",2009
108,December," 442,849 ",2009
109,January," 462,483 ",2010
110,February," 462,483 ",2010
111,March," 462,483 ",2010
112,April," 466,636 ",2010
113,May," 466,636 ",2010
114,June," 466,636 ",2010
115,July," 471,960 ",2010
116,August," 471,960 ",2010
117,September," 471,960 ",2010
118,October," 491,068 ",2010
119,November," 491,068 ",2010
120,December," 491,068 ",2010
121,January," 526,022 ",2011
122,February," 526,022 ",2011
123,March," 526,022 ",2011
124,April," 527,990 ",2011
125,May," 527,990 ",2011
126,June," 527,990 ",2011
127,July," 560,886 ",2011
128,August," 560,886 ",2011
129,September," 560,886 ",2011
130,October," 509,720 ",2011
131,November," 509,720 ",2011
132,December," 509,720 ",2011
133,January," 546,237 ",2012
134,February," 546,237 ",2012
135,March," 546,237 ",2012
136,April," 568,539 ",2012
137,May," 568,539 ",2012
138,June," 568,539 ",2012
139,July," 554,399 ",2012
140,August," 554,399 ",2012
141,September," 554,399 ",2012
142,October," 573,447 ",2012
143,November," 573,447 ",2012
144,December," 573,447 ",2012
145,January," 591,833 ",2013
146,February," 591,833 ",2013
147,March," 591,833 ",2013
148,April," 584,844 ",2013
149,May," 584,844 ",2013
150,June," 584,844 ",2013
151,July," 553,259 ",2013
152,August," 553,259 ",2013
153,September," 553,259 ",2013
154,October," 547,740 ",2013
155,November," 547,740 ",2013
156,December," 547,740 ",2013
157,January," 530,895 ",2014
158,February," 530,895 ",2014
159,March," 530,895 ",2014
160,April," 532,587 ",2014
161,May," 532,587 ",2014
162,June," 532,587 ",2014
163,July," 551,703 ",2014
164,August," 551,703 ",2014
165,September," 551,703 ",2014
166,October," 541,271 ",2014
167,November," 541,271 ",2014
168,December," 541,271 ",2014
169,January," 546,881 ",2015
170,February," 546,881 ",2015
171,March," 546,881 ",2015
172,April," 537,767 ",2015
173,May," 537,767 ",2015
174,June," 537,767 ",2015
175,July," 539,449 ",2015
176,August," 539,449 ",2015
177,September," 539,449 ",2015
178,October," 532,428 ",2015
179,November," 532,428 ",2015
180,December," 532,428 ",2015
181,January," 523,374 ",2016
182,February," 523,374 ",2016
183,March," 523,374 ",2016
184,April," 529,472 ",2016
185,May," 529,472 ",2016
186,June," 529,472 ",2016
187,July," 534,301 ",2016
188,August," 534,301 ",2016
189,September," 534,301 ",2016
190,October," 548,588 ",2016
191,November," 548,588 ",2016
192,December," 548,588 ",2016
193,January," 552,074 ",2017
194,February," 552,074 ",2017
195,March," 552,074 ",2017
196,April," 562,156 ",2017
197,May," 562,156 ",2017
198,June," 562,156 ",2017
199,July," 569,358 ",2017
200,August," 569,358 ",2017
201,September," 569,358 ",2017
202,October," 586,714 ",2017
203,November," 586,714 ",2017
204,December," 586,714 ",2017
205,January," 600,055 ",2018
206,February," 600,055 ",2018
207,March," 600,055 ",2018
208,April," 616,170 ",2018
209,May," 616,170 ",2018
210,June," 616,170 ",2018
211,July," 630,190 ",2018
212,August," 630,190 ",2018
213,September," 630,190 ",2018
214,October," 614,578 ",2018
215,November," 614,578 ",2018
216,December," 614,578 ",2018
217,January," 592,813 ",2019
218,February," 592,813 ",2019
219,March," 592,813 ",2019
220,April," 595,934 ",2019
221,May," 595,934 ",2019
222,June," 595,934 ",2019
223,July," 588,499 ",2019
224,August," 588,499 ",2019
225,September," 588,499 ",2019
226,October," 558,514 ",2019
227,November," 558,514 ",2019
228,December," 558,514 ",2019
229,January," 566,317 ",2020
230,February," 566,317 ",2020
231,March," 566,317 ",2020
232,April," 456,511 ",2020
233,May," 456,511 ",2020
234,June," 456,511 ",2020
235,July," 468,243 ",2020
236,August," 468,243 ",2020
237,September," 468,243 ",2020
238,October," 512,104 ",2020
239,November," 512,104 ",2020
240,December," 512,104 ",2020