id,month,manufac_prod_index,year
1,January, 52.47 ,2001
2,February, 53.02 ,2001
3,March, 52.18 ,2001
4,April, 51.29 ,2001
5,May, 52.51 ,2001
6,June, 53.96 ,2001
7,July, 53.31 ,2001
8,August, 54.26 ,2001
9,September, 54.35 ,2001
10,October, 54.15 ,2001
11,November, 52.58 ,2001
12,December, 52.39 ,2001
13,January, 53.45 ,2002
14,February, 54.31 ,2002
15,March, 56.33 ,2002
16,April, 56.02 ,2002
17,May, 58.41 ,2002
18,June, 57.39 ,2002
19,July, 57.62 ,2002
20,August, 60.27 ,2002
21,September, 58.94 ,2002
22,October, 60.12 ,2002
23,November, 62.29 ,2002
24,December, 59.03 ,2002
25,January, 64.16 ,2003
26,February, 62.20 ,2003
27,March, 64.43 ,2003
28,April, 66.79 ,2003
29,May, 65.27 ,2003
30,June, 64.86 ,2003
31,July, 65.99 ,2003
32,August, 64.36 ,2003
33,September, 66.44 ,2003
34,October, 68.71 ,2003
35,November, 66.85 ,2003
36,December, 71.43 ,2003
37,January, 72.39 ,2004
38,February, 73.99 ,2004
39,March, 70.10 ,2004
40,April, 73.11 ,2004
41,May, 71.56 ,2004
42,June, 71.89 ,2004
43,July, 74.76 ,2004
44,August, 71.06 ,2004
45,September, 75.41 ,2004
46,October, 75.91 ,2004
47,November, 75.93 ,2004
48,December, 77.77 ,2004
49,January, 76.75 ,2005
50,February, 74.85 ,2005
51,March, 78.49 ,2005
52,April, 80.29 ,2005
53,May, 79.52 ,2005
54,June, 82.05 ,2005
55,July, 81.07 ,2005
56,August, 81.20 ,2005
57,September, 83.32 ,2005
58,October, 81.87 ,2005
59,November, 81.96 ,2005
60,December, 82.38 ,2005
61,January, 81.42 ,2006
62,February, 84.78 ,2006
63,March, 86.77 ,2006
64,April, 84.07 ,2006
65,May, 86.63 ,2006
66,June, 87.43 ,2006
67,July, 85.87 ,2006
68,August, 87.34 ,2006
69,September, 87.35 ,2006
70,October, 86.07 ,2006
71,November, 88.77 ,2006
72,December, 87.92 ,2006
73,January, 89.30 ,2007
74,February, 89.15 ,2007
75,March, 90.18 ,2007
76,April, 90.03 ,2007
77,May, 92.12 ,2007
78,June, 90.53 ,2007
79,July, 92.09 ,2007
80,August, 95.90 ,2007
81,September, 94.79 ,2007
82,October, 97.21 ,2007
83,November, 99.77 ,2007
84,December, 98.48 ,2007
85,January, 101.81 ,2008
86,February, 102.83 ,2008
87,March, 98.32 ,2008
88,April, 99.25 ,2008
89,May, 100.67 ,2008
90,June, 100.29 ,2008
91,July, 101.84 ,2008
92,August, 103.48 ,2008
93,September, 98.93 ,2008
94,October, 99.58 ,2008
95,November, 92.28 ,2008
96,December, 80.53 ,2008
97,January, 79.90 ,2009
98,February, 82.23 ,2009
99,March, 83.68 ,2009
100,April, 89.97 ,2009
101,May, 90.94 ,2009
102,June, 91.80 ,2009
103,July, 94.24 ,2009
104,August, 93.60 ,2009
105,September, 101.31 ,2009
106,October, 100.36 ,2009
107,November, 101.19 ,2009
108,December, 110.18 ,2009
109,January, 102.45 ,2010
110,February, 107.50 ,2010
111,March, 111.01 ,2010
112,April, 109.92 ,2010
113,May, 106.61 ,2010
114,June, 111.69 ,2010
115,July, 109.16 ,2010
116,August, 101.82 ,2010
117,September, 109.92 ,2010
118,October, 106.28 ,2010
119,November, 106.41 ,2010
120,December, 107.62 ,2010
121,January, 95.55 ,2011
122,February, 93.18 ,2011
123,March, 97.33 ,2011
124,April, 94.23 ,2011
125,May, 92.68 ,2011
126,June, 97.72 ,2011
127,July, 96.48 ,2011
128,August, 98.67 ,2011
129,September, 100.04 ,2011
130,October, 74.28 ,2011
131,November, 70.18 ,2011
132,December, 86.14 ,2011
133,January, 88.11 ,2012
134,February, 95.80 ,2012
135,March, 95.85 ,2012
136,April, 97.34 ,2012
137,May, 100.14 ,2012
138,June, 97.94 ,2012
139,July, 100.41 ,2012
140,August, 99.31 ,2012
141,September, 98.10 ,2012
142,October, 101.28 ,2012
143,November, 103.91 ,2012
144,December, 100.80 ,2012
145,January, 103.59 ,2013
146,February, 99.14 ,2013
147,March, 101.96 ,2013
148,April, 101.11 ,2013
149,May, 101.57 ,2013
150,June, 101.01 ,2013
151,July, 101.26 ,2013
152,August, 100.62 ,2013
153,September, 98.51 ,2013
154,October, 100.22 ,2013
155,November, 97.99 ,2013
156,December, 96.40 ,2013
157,January, 96.33 ,2014
158,February, 95.54 ,2014
159,March, 96.15 ,2014
160,April, 98.07 ,2014
161,May, 97.23 ,2014
162,June, 96.14 ,2014
163,July, 96.47 ,2014
164,August, 96.42 ,2014
165,September, 97.79 ,2014
166,October, 98.26 ,2014
167,November, 95.80 ,2014
168,December, 98.04 ,2014
169,January, 97.54 ,2015
170,February, 99.13 ,2015
171,March, 96.56 ,2015
172,April, 97.77 ,2015
173,May, 95.88 ,2015
174,June, 96.73 ,2015
175,July, 98.25 ,2015
176,August, 95.91 ,2015
177,September, 96.92 ,2015
178,October, 96.70 ,2015
179,November, 95.22 ,2015
180,December, 97.56 ,2015
181,January, 97.00 ,2016
182,February, 100.72 ,2016
183,March, 100.29 ,2016
184,April, 100.67 ,2016
185,May, 98.69 ,2016
186,June, 101.02 ,2016
187,July, 98.62 ,2016
188,August, 101.52 ,2016
189,September, 102.32 ,2016
190,October, 100.38 ,2016
191,November, 98.10 ,2016
192,December, 99.84 ,2016
193,January, 98.75 ,2017
194,February, 98.71 ,2017
195,March, 101.65 ,2017
196,April, 99.47 ,2017
197,May, 101.52 ,2017
198,June, 101.59 ,2017
199,July, 100.58 ,2017
200,August, 104.29 ,2017
201,September, 103.22 ,2017
202,October, 100.09 ,2017
203,November, 103.67 ,2017
204,December, 103.72 ,2017
205,January, 103.44 ,2018
206,February, 104.20 ,2018
207,March, 105.86 ,2018
208,April, 103.49 ,2018
209,May, 107.05 ,2018
210,June, 107.54 ,2018
211,July, 107.41 ,2018
212,August, 108.90 ,2018
213,September, 105.50 ,2018
214,October, 107.57 ,2018
215,November, 108.41 ,2018
216,December, 103.80 ,2018
217,January, 104.07 ,2019
218,February, 103.23 ,2019
219,March, 103.68 ,2019
220,April, 105.28 ,2019
221,May, 103.78 ,2019
222,June, 101.92 ,2019
223,July, 104.63 ,2019
224,August, 103.71 ,2019
225,September, 100.00 ,2019
226,October, 99.15 ,2019
227,November, 98.12 ,2019
228,December, 98.59 ,2019
229,January, 100.11 ,2020
230,February, 99.23 ,2020
231,March, 94.09 ,2020
232,April, 82.58 ,2020
233,May, 78.79 ,2020
234,June, 83.12 ,2020
235,July, 89.13 ,2020
236,August, 92.85 ,2020
237,September, 95.58 ,2020
238,October, 97.29 ,2020
239,November, 96.20 ,2020
240,December, 96.28 ,2020